Fecha,Usuario,Descripción,Vistas,Hashtags,Origen,Ciudad,Latitud,Longitud,Forecast,Temperatura Promedio (°C),Temperatura Maxima (°C),Temperatura Minima (°C),Precipitación (mm),Nieve (cm),Humedad(%),Visibilidad (km),Velocidad Viento(m/s),Amanecer (s),Atardecer (s),Forecast Time
2024-02-29,aby.avg,Apreciando ando ✨🤍#patagoniaargentina #villalaangostura #bahiamansa,861,#patagoniaargentina #villalaangostura #bahiamansa,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Overcast,13.6,23.1,6.2,0.0,0.0,54,10.0,15.8,07:28 AM,08:29 PM,2024-04-22 19:01
2023-12-16,thiagof.okk,"Bahia manza, villa la angostura 🤍 #villalaangostura #viral #parati #pyf",1277,#villalaangostura #viral #parati #pyf       ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Patchy light drizzle,8.1,15.7,2.8,1.01,0.0,72,9.8,28.1,06:09 AM,09:15 PM,2024-04-22 19:04
2024-01-05,karladf6,Bahía Mansa Villa Angostura 📍 Argentina 🫶✨ #bahiamansavillalaangostura,902,#bahiamansavillalaangostura,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Patchy rain possible,14.5,20.3,10.2,0.18,0.0,65,10.0,37.1,06:22 AM,09:22 PM,2024-04-22 19:03
2024-02-01,meluruizzm,#villalaangostura #bahiabrava🇦🇷 #bahiamansa #patagoniaargentina #argentinatiktok,1380,#villalaangostura #bahiabrava🇦🇷 #bahiamansa #patagoniaargentina #argentinatiktok   ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Partly cloudy,16.1,23.9,10.2,0.0,0.0,67,10.0,19.1,06:53 AM,09:06 PM,2024-04-22 19:02
2024-03-16,mapiatersol,#sur #argentina #villalaangostura #paisajes #bahiamansa,726,#sur #argentina #villalaangostura #paisajes #bahiamansa,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Patchy rain possible,8.4,11.8,4.6,0.52,0.0,70,10.0,26.3,07:46 AM,08:04 PM,2024-04-22 19:03
2024-03-16,mapiatersol,"Mirador Bahia Manda, una vista soñada. Solo treina munitos de treeking. #villalaangostura",338,#villalaangostura    ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Patchy rain possible,8.4,11.8,4.6,0.52,0.0,70,10.0,26.3,07:46 AM,08:04 PM,2024-04-22 19:03
2024-02-03,valllbaezz,#villalaangostura #bahiamansa #neuquen #sur #surargentino #paisaje,904,#villalaangostura #bahiamansa #neuquen #sur #surargentino #paisaje,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Partly cloudy,13.6,22.1,4.8,0.0,0.0,54,10.0,19.8,06:56 AM,09:04 PM,2024-04-22 19:02
2023-10-03,lorena_bea,Maravilloso todo. 🤩 #bahiamansavillalaangostura,897,#bahiamansavillalaangostura ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Patchy rain possible,4.6,10.9,-0.5,0.06,0.0,69,10.0,16.9,07:18 AM,07:55 PM,2024-04-22 19:08
2024-02-20,estefyale.30,Hermosa tarde en el lago! #neuquen #argentina #paraiso #villalaangostura #sur,620,#neuquen #argentina #paraiso #villalaangostura #sur      ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Overcast,16.3,23.3,11.4,0.0,0.0,56,10.0,24.8,07:17 AM,08:43 PM,2024-04-22 19:02
2024-03-22,estefyale.30,simplemente hermoso😍 #lago #bahiamansa #villalaangostura #paraiso #sur #argentina,614,#lago #bahiamansa #villalaangostura #paraiso #sur #argentina      ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Moderate rain,8.5,10.3,5.8,18.2,0.0,78,8.8,13.7,07:52 AM,07:54 PM,2024-04-22 19:01
2024-02-09,eduardo.churata,Hermoso lugar ❤️ #villalaangostura #bahiamansa #neuquen #bariloche #hermoso,1710,#villalaangostura #bahiamansa #neuquen #bariloche #hermoso  ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Patchy light rain with thunder,14.7,22.7,9.9,14.81,0.0,66,9.5,21.6,07:04 AM,08:57 PM,2024-04-22 19:04
2023-08-26,romisolllll,Patagonia Argentina Villa la Angostura - Bahía Manzano #villalaangostura #bahiamanzano,1624,#villalaangostura #bahiamanzano  ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Sunny,-0.3,5.6,-5.0,0.0,0.0,74,10.0,11.9,08:20 AM,07:17 PM,2024-04-22 19:08
2024-02-02,vanecatrin,#Bahia_Mansa #VillaLaAngostura #summer #☁️♥️ #💆,629,#Bahia_Mansa #VillaLaAngostura #summer #☁️♥️ #💆,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Patchy rain possible,15.4,20.6,11.6,0.45,0.0,70,10.0,32.8,06:55 AM,09:05 PM,2024-04-22 19:04
2024-01-23,turismovla,Navegamos un ratito por Bahía Manzano? #villalaangostura🇦🇷 #patagonia #veranoenvla,1268,#villalaangostura🇦🇷 #patagonia #veranoenvla ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Sunny,19.3,26.8,12.8,0.0,0.0,49,10.0,22.0,06:42 AM,09:14 PM,2024-04-22 19:05
2024-03-26,ignaciofitero,Veranito en el sur con @Sofiii 💘🌺🏕️⛰️ #Sur #villalaangostura #cumbre #bahiamansa,1015,@Sofiii #Sur #villalaangostura #cumbre #bahiamansa         ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Patchy rain possible,13.4,17.9,10.7,0.83,0.0,80,10.0,14.4,07:56 AM,07:47 PM,2024-04-22 19:00
2024-04-06,cami.ntvg,#villalaangostura🇦🇷 #bahiabrava🇦🇷 #bosquearrayanes #Argentina,658,#villalaangostura🇦🇷 #bahiabrava🇦🇷 #bosquearrayanes #Argentina  ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Light drizzle,7.4,9.0,5.6,1.11,0.0,89,9.0,22.3,08:08 AM,07:30 PM,2024-04-22 19:02
2024-03-16,somelo22,⛰️💖 #argentina #villalaangostura #marzo2024 #fyp,1479,#argentina #villalaangostura #marzo2024 #fyp,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Patchy rain possible,8.4,11.8,4.6,0.52,0.0,70,10.0,26.3,07:46 AM,08:04 PM,2024-04-22 19:03
2023-09-29,antoestupinan,Momentos de desconexión 🤍 #argentina #villalaangostura #patagonia #sur #lugares,68700,#argentina #villalaangostura #patagonia #sur #lugares             ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Sunny,4.6,11.4,-0.8,0.0,0.0,68,10.0,7.2,07:25 AM,07:50 PM,2024-04-22 19:07
2023-12-07,gomezcelestel,Patagonia Argentina 🇦🇷♥️ #villatraful #bosquesumergido🏞🏔 #villalaangostura,2245,#villatraful #bosquesumergido🏞🏔 #villalaangostura  ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Partly cloudy,12.8,20.4,6.1,0.0,0.0,59,10.0,13.3,06:08 AM,09:08 PM,2024-04-22 19:06
2024-03-31,mikacarrascooo,📍 Villa la Angostura 🏞️ Muelle Bahía Brava #villalaangostura #neuquenargentina🇦🇷,680,#villalaangostura #neuquenargentina🇦🇷    ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Sunny,6.1,13.2,0.6,0.0,0.0,64,10.0,14.4,08:02 AM,07:39 PM,2024-04-22 19:00
2023-08-24,natiturista,#bahiabrava #villalaangostura #neuquen #argentina #surargentino #ahoratu,5495,#bahiabrava #villalaangostura #neuquen #argentina #surargentino #ahoratu,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Cloudy,-1.1,2.6,-3.9,0.0,0.0,83,10.0,14.4,08:23 AM,07:15 PM,2024-04-22 19:08
2023-11-10,priscilanahuelan,#villalaangostura #surargentino🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷 #bahiamansa #riocorrentoso,23000,#villalaangostura #surargentino🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷🇦🇷 #bahiamansa #riocorrentoso,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Sunny,8.4,13.9,3.7,0.05,0.0,61,10.0,29.5,06:24 AM,08:37 PM,2024-04-22 19:05
2023-12-27,vanuwidmer,El sur 😍 #vacaciones #bahiabrava #villalaangostura #sur #argentina #🇦🇷,689,#vacaciones #bahiabrava #villalaangostura #sur #argentina #🇦🇷,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Sunny,17.7,24.8,11.6,0.0,0.0,55,10.0,20.9,06:15 AM,09:20 PM,2024-04-22 19:04
2024-03-22,chuansigol,Dura la patagonia … #patagonia #bariloche #villalaangostura #neuquen #lago #viaje #sur,2314,#patagonia #bariloche #villalaangostura #neuquen #lago #viaje #sur    ,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Moderate rain,8.5,10.3,5.8,18.2,0.0,78,8.8,13.7,07:52 AM,07:54 PM,2024-04-22 19:01
2024-02-20,charrochina,#bahiamansa #vla #villalaangostura #puertomanzano,502,#bahiamansa #vla #villalaangostura #puertomanzano,bahia_mansa,"Villa La Angostura, AR",-40.78,-71.66,Overcast,16.3,23.3,11.4,0.0,0.0,56,10.0,24.8,07:17 AM,08:43 PM,2024-04-22 19:02
