Fecha,Feriado,place_id_dataGoogleMaps,place_name_dataGoogleMaps,review_id_hash_dataGoogleMaps,rating_dataGoogleMaps,review_text_dataGoogleMaps,published_at_dataGoogleMaps,response_from_owner_text_dataGoogleMaps,response_from_owner_ago_dataGoogleMaps,response_from_owner_date_dataGoogleMaps,review_likes_count_dataGoogleMaps,total_number_of_reviews_by_reviewer_dataGoogleMaps,total_number_of_photos_by_reviewer_dataGoogleMaps,is_local_guide_dataGoogleMaps,review_translated_text_dataGoogleMaps,response_from_owner_translated_text_dataGoogleMaps,Ciudad_dataClima,Latitud_dataClima,Longitud_dataClima,Forecast_dataClima,Temperatura Promedio (°C)_dataClima,Temperatura Maxima (°C)_dataClima,Temperatura Minima (°C)_dataClima,Precipitación (mm)_dataClima,Nieve (cm)_dataClima,Humedad(%)_dataClima,Visibilidad (km)_dataClima,Velocidad Viento(m/s)_dataClima,Amanecer (s)_dataClima,Atardecer (s)_dataClima,Forecast Time_dataClima,Usuario_dataTiktok,Descripción_dataTiktok,Vistas_dataTiktok,Hashtags_dataTiktok,Origen_dataTiktok
2020-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,julietaroth1,Bahia Mansa - Villa La Angostura #argentina #viajar #zxycba #parati #patagoniaargentina,7819.0,#argentina #viajar #zxycba #parati #patagoniaargentina  ,bahia mansa
2020-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,glampingpatagonia,#villalaangostura #glamping #viajesconconexion #patagonia #argentina,2004.0,#villalaangostura #glamping #viajesconconexion #patagonia #argentina     ,bahia mansa
2021-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pasaje.en.mano,El muelle de #villalaangostura ❤️ amo argentina. Amo la patagonia 🇦🇷💙💫,46200.0,#villalaangostura,bahia mansa
2021-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pasaje.en.mano,Bosque Los Arrayanes 😍😍😍💦💦💦 #villalaangostura #argentina,78300.0,#villalaangostura #argentina,bahia brava
2021-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nadiamagnino0,#villa #la #Angostura #playa #bahia #brava 😍 #belleza,1871.0,#villa #la #Angostura #playa #bahia #brava #belleza,bahia brava
2021-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pasaje.en.mano,Recién subí una GUÍA DE VILLA LA ANGOSTURA A MI IG ❤️ esto es Bahía manzano 🙃,13700.0, ,bahia mansa
2021-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anigarlatti,Bahía Mansa - Villa La Angostura. #parati #fyp #argentina🇦🇷 #patagoniargentina #patagonia,1633.0,#parati #fyp #argentina🇦🇷 #patagoniargentina #patagonia  ,bahia mansa
2021-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alanaltuzarra,Bahía manzano #villalaangostura #fyp #patagonia,21100.0,#villalaangostura #fyp #patagonia,bahia mansa
2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,melissadanielamk,Imperdible Bahía Manzano en Villa la angostura 😍 #villalaangostura #patagonia,5369.0,#villalaangostura #patagonia  ,bahia mansa
2021-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,luccaspodesta,VILLA LA ANGOSTURA 😍 #patagonia #argentina #bahiabrava #villalaangostura,6768.0,#patagonia #argentina #bahiabrava #villalaangostura,bahia brava
