place_id,place_name,review_id_hash,rating,review_text,published_at,Fecha,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,6c0799f2dbff05c2dd186db2c9ea7e55,5,"Caminata de dificultad leve, 45 minutos haciendolo despacio. Algo de pendiente pero es facil. Mirador muy lindo, para ir con el mate. Se accede por el mismo camino que lleva a bosque de arrayanes. En un punto esta indicado el desvio hacia este mirador y el otro que te muestra bahia mansa. Vale la pena!",3 months ago,2024-01-25,,,,1,121.0,286.0,True,"Walk of mild difficulty, 45 minutes doing it slowly. Some slope but its easy. Very nice viewpoint, to go with the mate. It is accessed by the same path that leads to the myrtle forest. At one point the detour to this viewpoint is indicated and the other shows you Bahia Mansa. Its worth it!",
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,8cc8ab29a73e3085746929dc62d210bf,5,Hermosa caminata entre el bosque...fuimos con un bebe y es bastante empinada pero vale la pena el esfuerzo para subir y deleitar la vista.,3 months ago,2024-01-25,,,,0,21.0,11.0,False,Beautiful hike through the forest...we went with a baby and it is quite steep but it is worth the effort to climb and delight the view.,
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,2d4ad6230c7d953bceb22be427545c35,5,Hermosas vistas de las bahias y el lago. Sin duda recomendable. Hay un poco de subida pero se hace tranquilamente.,2 months ago,2024-02-25,,,,1,2.0,6.0,False,Beautiful views of the bays and the lake. Without a doubt recommended. There is a bit of a climb but it is done calmly.,
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,005096590463fb0a355fed44e9454252,5,"Very nice trail with places to sit and when you reach the Bahia Mansa viewpoint the view dazzles you!! Ideal place for those who enjoy a good walk. You can also access the other Bahia Brava viewpoint via another short trail, both of which are free to enter.",a year ago,2023-04-25,,,,4,22.0,130.0,True,,
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,b41092533b326303374d752bdfeedb07,5,"Es un trekking corto de unos dos kilometros y medio ida y vuelta, en tiempos de caminata.  Nosotros fuimos solo al mirador del Brazo Norte, que tienen una excelente vista. Los banos de la entrada , que pertenece a Parques Nacionales estaban clausurados nada que nos extrane, despues de todo es la Argentina. De todos modos, el paseo vale la pena.",a year ago,2023-04-25,,,,1,9.0,10.0,False,,
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,16cc0d8cbcec43b765b5f48b7f260a76,5,"Una maravilla natural. Verdadera belleza. Los carteles indicativos estaban algo deteriorados, pero no es un gran problema. Es sendero es claro y seguro, con los recaudos necesarios. Recomendable llevar ropa comoda y agua si es epoca de calor.",5 years ago,2019-04-25,,,,2,143.0,218.0,True,"A natural wonder. True beauty. The indicative signs were somewhat damaged, but it is not a big problem. The path is clear and safe, with the necessary precautions. It is advisable to wear comfortable clothing and water if it is hot weather.",
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,7f839ab84df918f8b8e6856f97de460e,5,"Bellisimo lugar, se llega partiendo del sendero que va al bosque de Arrayanes en el puerto, esta a 1 km aprox, pero es todo el tramo de subida, igualmente vale la pena ir. Son 2 miradores a los que se llega por el mismo sendero, en uno se observa la Bahia Mansa y en el otro la Bahia Brava. Tienen carteles de senalizacion para llegar. Si uno realiza solo ese tramo no se paga entrada al parque",a year ago,2023-04-25,,,,0,115.0,80.0,True,"Beautiful place, you get there starting from the path that goes to the Arrayanes forest in the port, it is approximately 1 km away, but it is all uphill, it is still worth going. There are 2 viewpoints that can be reached by the same path, in one you can see Mansa Bay and in the other you can see Brava Bay. They have signposts to get there. If you do only that section, you do not pay entrance to the park.",
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,2583b4aba271164d441b70d91532ecec,5,"Es absolutamente increble el mirador, si tenes suerte hasta ves pasar truchas. En primavera es hermoso, pero en cualquier estacion merece que la visiten, es un paraiso.",2 years ago,2022-04-25,,,,0,4.0,17.0,False,"The viewpoint is absolutely incredible, if you are lucky you even see trout passing by. In spring it is beautiful, but in any season it is worth a visit, it is a paradise.",
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,2e8b668ef19aad1363aa94fe7856f307,5,"Absolutely beautiful and worth visiting!! You get there through parque arrayanes, start in the path to bosque de arrayanes and theres a detour. Overall ~3km uphill Visited on",6 months ago,2023-10-25,,,,0,9.0,2.0,False,,
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,c5c2b7ad4046bc902779e4ff578971e4,5,Luego de una caminata de unos veinte minutos se accede A este mirador maravilloso. El paseo por el bosque frondoso es ya algo que vale la pena. Pero luego del esfuerzo se llega a este hermoso punto donde se puede apreciar desde lo alto una increible vista del Nahuel Huapi. Vale la pena realizarlo. Y luego ir al mirador de Bahia Mansa que son 5 minutos mas por el mismo sendero.,4 years ago,2020-04-25,,,,0,39.0,350.0,True,After a walk of about twenty minutes you access this wonderful viewpoint. The walk through the lush forest is already something worth it. But after the effort you reach this beautiful point where you can see an incredible view of Nahuel Huapi from above. It is worth doing it. And then go to the Bahia Mansa viewpoint which is 5 more minutes along the same path.,
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,73010a915b65cedfd6ee4920fc59b602,5,Hermosa vista y lugar maravilloso para pasar un rato.,2 years ago,2022-04-25,,,,0,20.0,31.0,True,Beautiful view and wonderful place to spend some time.,
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,d2bb343d93870973c9bed2327129f2df,5,"Lindo lugar a este mirardor se llega por el sendero del bosque de los arrayanes, a unos 900 metros de arrancar el sendero, encontramos 2 miradores(mirador de bahi mansa y mirardor de bahia brava) el acceso hasta este lugar es gratis!",2 years ago,2022-04-25,,,,7,48.0,334.0,True,"A nice place to reach this viewpoint through the Arrayanes forest trail, about 900 meters from the start of the trail, we find 2 viewpoints (Bahi Mansa viewpoint and Bahia Brava viewpoint) access to this place is free!",
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,ddba65380c51d5809ddd9fe04f1b9eb9,5,"No es un Mirador, es un Balcon,si puedes el mejor momento es el atardecer. Podes conocerlo entrando por la entrada Istmo Quetrihuel, y haces 1 km , ascendiendo, o de regreso de la caminata de los Arrayanes.la entrada esta ubicada entre los dos puertos, y tiene juegos, banos muy limpios y acceso a las dos playas brava y mansa, imperdibles, ideal para pasar el dia!! Especialmente con chicos",2 years ago,2022-04-25,,,,2,747.0,3774.0,True,"It is not a Mirador, it is a Balcony, if you can the best time is at sunset. You can visit it by entering through the Istmo Quetrihuel entrance, and do 1 km, ascending, or returning from the Arrayanes walk. The entrance is located between the two ports, and has games, very clean bathrooms and access to the two beaches Brava and tame, unmissable, ideal to spend the day!! Especially with boys",
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,af424f55e356fb2ec75ad8e5a09cf69e,5,"Lo mas hermoso que vi en mi vida. Imperdible, desde este punto se pueden apreciar todos los cerros del lado norte. El sendero son aprox 1km de caminata ida, cuesta un poco hacerlo pero hay troncos para sentarse y recuperarse. Vi que se puede hacer en bicicleta, un poco mas dificil. La caminata hasta el bosque de arrayanes es de 11km ida (se debe abonar entrada al parque)",11 months ago,2023-05-25,,,,0,36.0,77.0,True,"The most beautiful thing I saw in my life. Not to be missed, from this point you can see all the hills on the north side. The trail is approximately 1km one way, it is a bit difficult to do but there are logs to sit on and recover. I saw that it can be done by bicycle, a little more difficult. The walk to the myrtle forest is 11km one way (you must pay an entrance fee to the park)",
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,ab5c12912f8a4eb22d6f13525b074081,5,Hermoso lugar. La paz que hay es increible y magica. La vista es impresionante. Vale la pena el esfuerzo para subir.,4 years ago,2020-04-25,,,,0,328.0,375.0,True,Beautiful place. The peace there is is incredible and magical. The view is impressive. It is worth the effort to climb.,
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,00af45d7873b677f536035f740019932,5,"Una subida un poco exigente en la primera parte, pero solo lleva entre 20 y 30 llegar. La vista es aun mas linda que la del otro mirador (el de bahia mansa), que esta conectado a este a traves de un sendero sencillo. Un muy lindo paseo con una vista sublime.",4 years ago,2020-04-25,,,,1,217.0,238.0,True,"A slightly demanding climb in the first part, but it only takes between 20 and 30 to get there. The view is even prettier than the other viewpoint (that of Bahia Mansa), which is connected to it through a simple path. A very nice walk with a sublime view.",
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,e10d5bc2e5d026013fa48abcbf56182b,5,Lindo lugar con 2 vistas increibles .. especial para hacer caminata y disfrutar la tarde !!!,2 years ago,2022-04-25,,,,0,67.0,53.0,True,Nice place with 2 incredible views.. special for hiking and enjoying the afternoon!!!,
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,59fdab5a25533458175fb822ba664966,5,Hermoso  mirador que se ingresa sin pagar. Esta a pocos minutos de la entrada al parque,4 years ago,2020-04-25,,,,0,150.0,551.0,True,Beautiful viewpoint that you enter without paying. It is just a few minutes from the entrance to the park.,
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,c91d32d2daba16ee45af1cb4d0ba29bf,5,"Vale la pena subir, la vista es imponente, aunque recomiendo ir al otro, Mirador Brazo Norte (mucho mas linda vista)",a year ago,2023-04-25,,,,0,109.0,110.0,True,"It is worth going up, the view is impressive, although I recommend going to the other one, Mirador Brazo Norte (much prettier view)",
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,45fb25ecb4dce1212bfd4f2ef5c85d27,5,Un lugar maravilloso. Se accede con una breve caminata en subida que vale totalmente la pena.,a year ago,2023-04-25,,,,0,50.0,120.0,True,A wonderful place. It is accessed with a short uphill walk that is totally worth it.,
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,749049ef47e9602bd26113360aeb7dc1,5,"Llegamos, ardua la subida pero vale la pena.",4 months ago,2023-12-25,,,,0,99.0,174.0,True,"We arrive, the climb is arduous but it is worth it.",
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,065db8f09252557534a1ace454ca0fc2,5,"A beautiful viewpoint of the entire bay and beyond, a path of medium difficulty, sometimes uphill and sometimes downhill. But short of journey. The photos from there cant go wrong with such a view!!",4 years ago,2020-04-25,,,,1,403.0,325.0,True,,
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,798d6b7fab7af98a24c7aac3c1bc6637,5,"Espectacular, la vista es increible (sobre todo la de brazo norte) y esta a escasos 45 minutos de la entrada al parque/itsmo",6 years ago,2018-04-25,,,,0,166.0,226.0,True,"Spectacular, the view is incredible (especially the north arm) and it is just 45 minutes from the entrance to the park/isthmus",
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,450d7518de2bc473e15ca870d9a24cd8,5,"Sorprendidos!!! Alli en Villa La Angostura, en una caminata con  dificultad baja a media, llegamos a los Miradores de la Bahias Mansa y Brava.  IMPERDIBLES!!! Nos quedamos alli en la ciudad, a almorzar, hermoso centro, con muchas alternativas gastronomicas.  Muy bella Ciudad, de lo mejor del circuito de los 7 lagos.  MARAVILLOSO!!!",4 years ago,2020-04-25,,,,1,65.0,431.0,True,"Surprised!!! There in Villa La Angostura, on a walk with low to medium difficulty, we arrived at the Mansa and Brava Bay Viewpoints. UNMISSABLE!!! We stayed there in the city, for lunch, beautiful center, with many gastronomic alternatives. Very beautiful city, one of the best of the 7 lakes circuit. MARVELOUS!!!",
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,ea9e35160cc949dd0022c30f0cb7946e,5,Un lugar excelente para sentarse a disfrutar de la vista y ver los atardeceres. un poco ventoso pero hermoso lugar,5 years ago,2019-04-25,,,,0,353.0,198.0,True,An excellent place to sit and enjoy the view and watch the sunsets. a little windy but beautiful place,
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,61c7441f9537d55475ebc97bf99a7eb6,5,Por que ceve toda las Villa de desde ai y muy lindo,3 years ago,2021-04-25,,,,0,3.0,11.0,False,Why do you see all the Villas from here and very nice,
ChIJM_mf2S2_EJYRFcQ_RJa2wMY,Mirador Brazo Norte,9496fa36972c546a52976debb39dce2c,5,Pure nature! Bring mate to spend some time there contemplating this wonder!!! Its worth it!!!! Safety pin!,4 years ago,2020-04-25,,,,1,56.0,278.0,True,,
