Forecast,like_count,comment_count
Cloudy,0.0,0.0
Heavy rain at times,0.0,0.0
Heavy snow,0.0,0.0
lluvia leve,109.0,16.0
lluvia fria,63.0,2.0
lluvia,17804.0,96.0
Light rain shower,4.0,0.0
Light sleet,0.0,0.0
lluvia corta,171.0,6.0
Light snow,0.0,0.0
nieve light,537.0,17.0
lluvia,136.0,3.0
Moderate or heavy rain with thunder,0.0,0.0
Moderate or heavy sleet,0.0,0.0
mucha nieve,223.0,9.0
mucha nieve y rayos,255.0,0.0
Moderate rain,0.0,0.0
Moderate rain at times,0.0,0.0
Moderate snow,0.0,0.0
todo,804.0,28.0
nuves,1360.0,32.0
nieve fuerte,1.0,0.0
Patchy light drizzle,0.0,0.0
llvuia y rayos,47.0,0.0
Patchy light snow,0.0,0.0
poca nieve,64.0,4.0
poca lluvia,3189.0,139.0
sol,1602.0,82.0
