Forecast,like_count,comment_count
Cloudy,0.0,0.0
Heavy rain at times,184.0,8.0
Heavy snow,0.0,0.0
Light drizzle,109.0,16.0
Light freezing rain,1002.0,12.0
Light rain,0.0,0.0
Light rain shower,0.0,0.0
Light sleet,0.0,0.0
Light sleet showers,157.0,4.0
Light snow,0.0,0.0
Light snow showers,235.0,9.0
Moderate or heavy rain shower,610.0,12.0
Moderate or heavy rain with thunder,0.0,0.0
Moderate or heavy sleet,0.0,0.0
Moderate or heavy snow showers,219.0,9.0
Moderate or heavy snow with thunder,3.0,0.0
Moderate rain,0.0,0.0
Moderate rain at times,0.0,0.0
Moderate snow,12.0,8.0
Overcast,1258.0,36.0
Partly cloudy,80.0,4.0
Patchy heavy snow,1.0,0.0
Patchy light drizzle,0.0,0.0
Patchy light rain with thunder,47.0,0.0
Patchy light snow,0.0,0.0
Patchy moderate snow,64.0,4.0
Patchy rain possible,123.0,13.0
Sunny,1054.0,46.0
