user,Fecha,like_count,comment_count
russofaca,2024-04-06,109,16
sofitrinidadgonzalez,2024-03-24,51,2
lmp_world_journey,2024-03-20,7,0
pablocolman881,2024-03-18,2,0
thedyonisuseye,2024-02-21,7,0
sofitrinidadgonzalez,2024-02-19,117,17
catoortiz,2024-02-15,15,0
whosari_f,2024-02-12,48,6
oriramella,2024-02-12,3,2
buceovla,2024-02-09,47,0
ianmg_14,2024-01-29,3,0
carlos_fredy_mira,2024-01-27,9,0
kev_ok_95,2024-01-21,1,0
kev_ok_95,2024-01-21,2,0
florgiacchi,2024-01-19,544,18
rodri.difrancesca,2024-01-15,10,1
lauravheili,2024-01-12,3,2
gonzalobarreiro.gb,2024-01-04,9,0
gonzalobarreiro.gb,2024-01-04,15,0
libertangorock,2023-12-30,11,0
vasquezobreque,2023-12-30,4,0
vasquezobreque,2023-12-30,7,2
rolante_no_volante,2023-11-18,10,2
waltimas,2023-11-11,5,0
waltimas,2023-11-11,0,0
lmomberg,2023-11-10,107,0
tanafiore,2023-11-07,3,0
phaelateles,2023-10-23,17,1
arielgerussi,2023-10-17,10,1
carolinamanzaneli,2023-10-13,5,0
miriam.azua.5,2023-10-03,4,0
luli.lanfranchi,2023-10-02,3,2
jesusaguerrondo,2023-09-28,15,0
lucilafagioli,2023-09-25,11,4
sampaiosibely,2023-09-25,53,5
karina.advogadadefamilia,2023-09-13,85,0
pintame.a.mi,2023-09-08,3,1
leoceiro,2023-09-06,157,4
lauvaulet,2023-09-04,29,1
takemetothelakesph,2023-08-30,5,0
marionorbertovera,2023-08-29,1,0
luachariatti,2023-08-28,235,9
flor.umbides,2023-08-21,71,5
flor.umbides,2023-08-20,42,0
flor.umbides,2023-08-20,51,0
flor.umbides,2023-08-20,18,0
roselioliveiracorpomente,2023-08-17,10,0
pattt_f,2023-08-03,45,2
elgalgo.jm,2023-08-03,5,0
luis.aquino.712,2023-08-02,0,0
andremoreno.s,2023-07-30,18,0
luchy_alba_,2023-07-21,3,0
gabiscrc,2023-07-21,100,1
lulybunter,2023-07-19,3,2
freedompatagonia,2023-07-18,25,3
jorbira,2023-07-12,239,4
ianfilipiak,2023-07-12,80,2
rojas.facundo.arg,2023-07-11,27,0
raulin_in,2023-07-09,34,2
mauri_core,2023-06-22,22,1
recorreargentina40,2022-01-05,4280,34
naty_love_naty,2023-05-01,2,0
lugandolfo,2022-03-08,984,19
waltimas,2023-11-11,0,0
unarutaargentina,2021-02-07,3161,22
natdel18,2022-08-07,0,0
natdel18,2022-08-07,3,0
belenromang,2021-01-25,3744,14
dergarabedian,2021-05-02,5,0
camucorbetto,2022-01-16,823,16
ludmilacalderon,2021-12-29,601,22
camiyogui,2022-04-18,474,18
recorreargentina40,2020-03-25,1632,24
capturandoneuquen,2021-05-06,1685,17
luli.cadelago,2022-02-14,677,11
jeropourtau,2021-12-16,830,16
florlevis,2022-03-01,1159,9
cotyleon22,2021-02-01,1511,11
francescaaraggi,2021-04-19,1314,33
rocio.brizuela,2022-02-03,469,9
natalia.paglia,2021-06-15,849,76
cami_cota,2022-01-24,848,11
gkarenmt,2023-01-08,492,8
miliberko,2022-01-30,453,6
araceli.aavalos,2023-06-20,82,0
roma.chiri,2023-06-18,94,0
roma.chiri,2023-06-18,3,6
plantadecampamenton3_vla,2023-06-12,9,0
24kolifa,2023-06-10,145,2
vic.est,2023-06-07,11,0
plantadecampamenton3_vla,2023-05-31,14,0
okarlwilliam,2023-05-26,3,2
d.zonnevijlle,2023-05-25,96,2
maticontreras1,2023-05-16,63,0
_karinabailon,2023-05-14,16,0
elidasusana1979,2023-05-14,5,0
diego.bayanco,2023-05-07,15,0
momentosfelicesnaty,2023-05-01,0,0
naty_love_naty,2023-05-01,2,0
mariaims_,2023-04-28,3,0
maria.jose.gomez270488,2023-04-26,30,1
daianabrunela,2023-04-25,46,2
phjemsol,2023-04-23,8,0
macarena.2603,2023-04-17,53,2
matifernandezg,2023-04-08,3,3
nolita86,2023-04-07,9,0
ayewilsonn,2023-04-03,3,2
ayewilsonn,2023-04-02,133,7
nolita86,2023-03-26,10,2
lauraemiliagutietrez,2023-03-26,24,1
limarinocarlos,2023-03-23,33,1
limarinocarlos,2023-03-23,3,1
miscastillosdearena,2023-03-16,41,1
fabri.eloy,2023-03-11,1,0
flor_caze,2023-03-11,87,12
andresmiguelbiscione,2023-03-09,11,0
elcurafrers,2023-03-07,10,0
diego81mza,2023-03-07,6,1
sergiocortazzo,2023-03-05,13,2
priprus,2023-03-04,27,0
miscastillosdearena,2023-03-03,43,2
valentinanuma_,2023-02-25,34,0
glampingpatagonia,2023-02-22,56,0
may.brandtt,2023-02-21,41,1
fedeplomer,2023-02-21,419,6
vanina.riquelme.90,2023-02-20,0,0
vanina.riquelme.90,2023-02-20,0,0
vanina.riquelme.90,2023-02-20,0,0
plinioolmos,2023-02-17,8,0
fer_viajero,2023-02-16,211,0
cristinaelenamaciel,2023-02-15,21,2
orvar_w,2023-02-15,4,1
aylufuente_,2023-02-12,226,4
gabi.viajante,2023-02-11,97,14
carolinaklun,2023-02-11,6,0
isasimaria,2023-02-11,44,8
ferni_land,2023-02-11,6,0
luz.indio182,2023-02-10,13,2
diegoigal,2023-02-10,45,2
solange_essentialconsultoria,2023-02-09,37,1
rodrigo.anchen,2023-02-08,3,14
gersoncl,2023-02-08,2,0
bautim_,2023-02-07,199,5
robettimarian,2023-02-07,51,0
edinsonhermosilla,2023-02-07,8,0
paucacheiro,2023-02-05,425,18
luana.martinez1,2023-02-03,3,19
araceli.aavalos,2023-06-20,82,0
roma.chiri,2023-06-18,94,0
roma.chiri,2023-06-18,3,6
plantadecampamenton3_vla,2023-06-12,9,0
24kolifa,2023-06-10,145,2
vic.est,2023-06-07,11,0
plantadecampamenton3_vla,2023-05-31,14,0
okarlwilliam,2023-05-26,3,2
d.zonnevijlle,2023-05-25,96,2
maticontreras1,2023-05-16,63,0
_karinabailon,2023-05-14,16,0
elidasusana1979,2023-05-14,5,0
diego.bayanco,2023-05-07,15,0
momentosfelicesnaty,2023-05-01,0,0
naty_love_naty,2023-05-01,2,0
mariaims_,2023-04-28,3,0
maria.jose.gomez270488,2023-04-26,30,1
daianabrunela,2023-04-25,46,2
phjemsol,2023-04-23,8,0
macarena.2603,2023-04-17,53,2
matifernandezg,2023-04-08,3,3
nolita86,2023-04-07,9,0
nolita86,2023-03-26,10,2
lauraemiliagutietrez,2023-03-26,24,1
limarinocarlos,2023-03-23,33,1
limarinocarlos,2023-03-23,3,1
miscastillosdearena,2023-03-16,41,1
fabri.eloy,2023-03-11,1,0
flor_caze,2023-03-11,87,12
andresmiguelbiscione,2023-03-09,11,0
elcurafrers,2023-03-07,10,0
diego81mza,2023-03-07,6,1
sergiocortazzo,2023-03-05,13,2
priprus,2023-03-04,27,0
miscastillosdearena,2023-03-03,43,2
valentinanuma_,2023-02-25,34,0
glampingpatagonia,2023-02-22,56,0
may.brandtt,2023-02-21,41,1
fedeplomer,2023-02-21,419,6
vanina.riquelme.90,2023-02-20,0,0
vanina.riquelme.90,2023-02-20,0,0
vanina.riquelme.90,2023-02-20,0,0
plinioolmos,2023-02-17,8,0
fer_viajero,2023-02-16,211,0
cristinaelenamaciel,2023-02-15,21,2
orvar_w,2023-02-15,4,1
aylufuente_,2023-02-12,226,4
gabi.viajante,2023-02-11,97,14
carolinaklun,2023-02-11,6,0
isasimaria,2023-02-11,44,8
ferni_land,2023-02-11,6,0
luz.indio182,2023-02-10,13,2
diegoigal,2023-02-10,45,2
solange_essentialconsultoria,2023-02-09,37,1
rodrigo.anchen,2023-02-08,3,14
gersoncl,2023-02-08,2,0
bautim_,2023-02-07,199,5
robettimarian,2023-02-07,51,0
edinsonhermosilla,2023-02-07,8,0
paucacheiro,2023-02-05,425,18
luana.martinez1,2023-02-03,3,19
antu_vla,2023-02-03,75,2
pablogiacusa,2023-02-03,239,2
araceli.aavalos,2023-06-20,82,0
roma.chiri,2023-06-18,94,0
roma.chiri,2023-06-18,3,6
plantadecampamenton3_vla,2023-06-12,9,0
24kolifa,2023-06-10,145,2
vic.est,2023-06-07,11,0
plantadecampamenton3_vla,2023-05-31,14,0
okarlwilliam,2023-05-26,3,2
d.zonnevijlle,2023-05-25,96,2
maticontreras1,2023-05-16,63,0
_karinabailon,2023-05-14,16,0
elidasusana1979,2023-05-14,5,0
diego.bayanco,2023-05-07,15,0
momentosfelicesnaty,2023-05-01,0,0
naty_love_naty,2023-05-01,2,0
mariaims_,2023-04-28,3,0
maria.jose.gomez270488,2023-04-26,30,1
daianabrunela,2023-04-25,46,2
phjemsol,2023-04-23,8,0
macarena.2603,2023-04-17,53,2
matifernandezg,2023-04-08,3,3
nolita86,2023-04-07,9,0
nolita86,2023-03-26,10,2
lauraemiliagutietrez,2023-03-26,24,1
limarinocarlos,2023-03-23,33,1
limarinocarlos,2023-03-23,3,1
miscastillosdearena,2023-03-16,41,1
fabri.eloy,2023-03-11,1,0
flor_caze,2023-03-11,87,12
andresmiguelbiscione,2023-03-09,11,0
elcurafrers,2023-03-07,10,0
diego81mza,2023-03-07,6,1
sergiocortazzo,2023-03-05,13,2
priprus,2023-03-04,27,0
miscastillosdearena,2023-03-03,43,2
valentinanuma_,2023-02-25,34,0
glampingpatagonia,2023-02-22,56,0
may.brandtt,2023-02-21,41,1
fedeplomer,2023-02-21,419,6
vanina.riquelme.90,2023-02-20,0,0
vanina.riquelme.90,2023-02-20,0,0
vanina.riquelme.90,2023-02-20,0,0
plinioolmos,2023-02-17,8,0
fer_viajero,2023-02-16,211,0
cristinaelenamaciel,2023-02-15,21,2
orvar_w,2023-02-15,4,1
aylufuente_,2023-02-12,226,4
gabi.viajante,2023-02-11,97,14
carolinaklun,2023-02-11,6,0
isasimaria,2023-02-11,44,8
ferni_land,2023-02-11,6,0
luz.indio182,2023-02-10,13,2
diegoigal,2023-02-10,45,2
solange_essentialconsultoria,2023-02-09,37,1
rodrigo.anchen,2023-02-08,3,14
gersoncl,2023-02-08,2,0
bautim_,2023-02-07,199,5
robettimarian,2023-02-07,51,0
edinsonhermosilla,2023-02-07,8,0
paucacheiro,2023-02-05,425,18
luana.martinez1,2023-02-03,3,19
antu_vla,2023-02-03,75,2
pablogiacusa,2023-02-03,239,2
luana.martinez1,2023-02-03,3,19
antu_vla,2023-02-03,75,2
pablogiacusa,2023-02-03,239,2
solmicaelamn,2023-02-03,28,0
sofifacio_,2023-02-01,3,0
gabriel_eduardo_sora,2023-02-01,15,1
mariano_fernandez187,2023-02-01,4,0
mmarialuz___,2023-01-31,122,0
eduardoabrego0205,2023-01-30,50,3
caami_diele,2023-01-30,173,0
vaneunasesculpidas,2023-01-30,23,0
artze_03,2023-01-27,9,0
madi_basgall,2023-01-25,71,0
lidia_sanabria99,2023-01-23,3,0
sergio_zepp,2023-01-22,4,0
chroniclesofzelda,2023-01-22,8,0
evelin.herreraa,2023-01-21,3,0
carlos_fredy_mira,2023-01-21,6,0
valentinasc__,2023-01-21,1,0
celefileccia,2023-01-19,3,1
erwinkek,2023-01-18,11,0
erwinkek,2023-01-18,11,0
sofiadinonno,2023-01-15,96,2
celefileccia,2023-01-14,436,12
maria.lingua,2023-01-14,165,11
destellosdelcolibri,2023-01-14,3,0
ga_czajkovski,2023-01-13,23,0
juanma.riveroo,2023-01-13,3,4
bombachasybombachitas.tienda,2023-01-11,29,2
cindreise,2023-01-11,195,0
claudiadebem,2023-01-10,46,4
tomynob9,2023-01-10,66,5
martubitar,2023-01-09,3,4
gkarenmt,2023-01-08,487,8
vuottosilvana,2023-01-07,107,2
fabytareina,2023-01-05,1,0
mariela_viola,2023-01-04,59,1
inealbertengo,2023-01-04,345,3
peyote.ser,2023-01-02,33,2
camicejasss,2022-12-31,127,8
lucilacalvoarias,2022-12-31,12,2
jdagda70,2022-12-29,1,0
sol.abate,2022-12-28,135,3
fernando_lopez21,2022-12-27,4,0
cande.rmzz,2022-12-25,347,30
dos.cucharones_pilar,2022-12-23,6,0
solchiperalta,2022-12-22,17,0
fer_viajero,2022-12-20,204,3
yanhernandz,2022-12-19,29,0
_maibello,2022-12-16,3,16
lic_wally,2022-12-16,35,1
daniel.lopez.consultor.lider,2022-12-12,6,0
yhail_,2022-12-10,3,0
zoepintor,2022-12-10,247,2
marielavalentinaguerresi,2022-12-10,4,0
tomas_bonanni,2022-12-06,34,2
mvguerresi,2022-12-05,15,1
lulimaartinez,2022-12-04,218,8
